;Nomor Perkara;Klasifikasi Perkara;Tahun;Sumber
0;129/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
1;129/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
2;122/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
3;113/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
4;100/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
5;98/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
6;81/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
7;12/Pdt.P/2023/PN Ksp;Permohonan Ganti Nama;2023;pn-kualasimpang
8;61/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
9;37/Pid.Sus/2023/PN Ksp;Narkotika;2023;pn-kualasimpang
10;28/Pid.Sus/2023/PN Ksp;Narkotika;2023;pn-kualasimpang
11;16/Pid.Sus/2023/PN Ksp;Narkotika;2023;pn-kualasimpang
12;17/Pid.C/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
13;8/Pid.B/2023/PN Ksp;Pencurian;2023;pn-kualasimpang
14;311/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
15;296/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
16;282/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
17;274/Pid.B/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
18;2125/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
19;252/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
20;2110/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
21;237/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
22;235/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
23;221/Pid.Sus/2022/PN Ksp;Lalu Lintas;2022;pn-kualasimpang
24;2078/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
25;2058/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
26;135/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
27;2036/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
28;2016/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
29;125/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
30;1990/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
31;212/Pid.B/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
32;1972/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
33;116/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
34;1958/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
35;103/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
36;67/Pdt.P/2022/PN Ksp;Perbaikan Kesalahan Dalam Akta Kelahiran;2022;pn-kualasimpang
37;1932/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
38;65/Pdt.P/2022/PN Ksp;Permohonan Ganti Nama;2022;pn-kualasimpang
39;1905/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
40;1885/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
41;171/Pid.B/2022/PN Ksp;Penadahan, Penerbitan, dan Pencetakan;2022;pn-kualasimpang
42;1856/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
43;1836/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
44;167/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
45;1810/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
46;1820/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
47;1783/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
48;1763/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
49;1751/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
50;1731/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
51;53/Pdt.P/2022/PN Ksp;Perbaikan Kesalahan Dalam Akta Kelahiran;2022;pn-kualasimpang
52;1699/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
53;52/Pdt.P/2022/PN Ksp;Perbaikan Kesalahan Dalam Akta Kelahiran;2022;pn-kualasimpang
54;1678/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
55;1658/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
56;1638/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
57;1618/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
58;1598/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
59;71/Pid.C/2022/PN Ksp;Pencurian;2022;pn-kualasimpang
60;1537/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
61;1557/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
62;1577/Pid.LL/2022/PN Ksp;Perkara Lalu-Lintas;2022;pn-kualasimpang
63;129/Pid.Sus/2022/PN Ksp;Narkotika;2022;pn-kualasimpang
